,job title,more info,job_company,job_location,skill requirement 1,skill requirement 2,skill requirement 3,posted time
2889,URGENT! Sales Coordinator //  Bangna // Up to 25K+Allowance // 1-2 yrs exp.,https://th.jobsdb.com//th/en/job/urgent!-sales-coordinator-bangna-up-to-25k-allowance-1-2-yrs-exp-300003002464699?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2890&jobId=jobsdb-th-job-300003002464699,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",บางนา,"Sales Coordinator, Bangna","Up to 25K+Allowance, 1-2 yrs exp","Trading Business, Good English",5 วันที่ผ่านมา
2890,Operational Service Support - FSI Business Unit,https://th.jobsdb.com//th/en/job/operational-service-support-fsi-business-unit-300003002449806?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2891&jobId=jobsdb-th-job-300003002449806,"SS&C Technologies, Inc - Thailand office",วัฒนา,Work in an international environment,"Strong English an advantage, training available","Excellent benefits, Medical, Flexible time off",8 วันที่ผ่านมา
2891,"Assistant Director-Director, Accounting",https://th.jobsdb.com//th/en/job/assistant-director-director-accounting-300003002463804?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2892&jobId=jobsdb-th-job-300003002463804,WHA Utilities & Power Public Company Limited – WHAUP,บางพลี,"10+ years exp in Accounting, Auditing, Financial","Exp in budgeting, report, financial report, tax","Proficiency in MS Office, ERP systems (Oracle, SA)",6 วันที่ผ่านมา
2892,Project Manager,https://th.jobsdb.com//th/en/job/project-manager-300003002464122?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2893&jobId=jobsdb-th-job-300003002464122,"Lumentum International (Thailand) Co., Ltd.",คลองหลวง,5 working days,Global company,Program management,6 วันที่ผ่านมา
2893,Specialist/Manager - Acquisition & Growth,https://th.jobsdb.com//th/en/job/specialist-manager-acquisition-growth-300003002449444?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2894&jobId=jobsdb-th-job-300003002449444,"Siam Commercial Bank Public Co., Ltd.",จตุจักร,Acquisition & Growth,Acquisition Strategy,Consumer Loan,8 วันที่ผ่านมา
2894,Record to Report - Malaysia,https://th.jobsdb.com//th/en/job/record-to-report-malaysia-300003002455321?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2895&jobId=jobsdb-th-job-300003002455321,Manpower Group Thailand,ต่างประเทศ,SAP/ERP,General accounting (R2R function),Accounting,6 วันที่ผ่านมา
2895,Key Account Manager,https://th.jobsdb.com//th/en/job/key-account-manager-300003002459179?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2896&jobId=jobsdb-th-job-300003002459179,ThaiNamthip Limited,หลักสี่,Bachelor’s Degree in Business Administrative,4 years experience KAM in FMCG Company,Strong Analytical skills,6 วันที่ผ่านมา
2896,Production Operator ( Matchmove Engineer)/เจ้าหน้าที่ฝ่ายการผลิต,https://th.jobsdb.com//th/en/job/production-operator-matchmove-engineer-%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%9D%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9C%E0%B8%A5%E0%B8%B4%E0%B8%95-300003002450217?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2897&jobId=jobsdb-th-job-300003002450217,"Yannix Co., Ltd. (Head Office)",บางขุนเทียน,Understanding of 3D space,Basic camera movement and Character animations,New graduates are welcome,7 วันที่ผ่านมา
2897,IT Cyber Security Engineer,https://th.jobsdb.com//th/en/job/it-cyber-security-engineer-300003002460131?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2898&jobId=jobsdb-th-job-300003002460131,"Fabrinet Co., Ltd.",คลองหลวง,IT Security Engineer,Cyber Security,Network Security,5 วันที่ผ่านมา
2898,Sales Executive ERP Software (3 yrs. Sales ERP) 30K+Com+Allowance/ WFH/Good English,https://th.jobsdb.com//th/en/job/sales-executive-erp-software-3-yrs-sales-erp-30k-com-allowance-wfh-good-english-300003002464500?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2899&jobId=jobsdb-th-job-300003002464500,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",กรุงเทพมหานคร,3+ years in enterprise software sales,Hunter – must be skilled the development closure,Having a good record of sales target achievement,6 วันที่ผ่านมา
2899,Azure System Engineer,https://th.jobsdb.com//th/en/job/azure-system-engineer-300003002450836?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2900&jobId=jobsdb-th-job-300003002450836,PTG Energy Public Company Limited,ห้วยขวาง,Azure System Engineer,Azure cloud architecture and on-premise architect,Excellent infrastructure implementation,7 วันที่ผ่านมา
2900,Business Development Partner,https://th.jobsdb.com//th/en/job/business-development-partner-300003002450211?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2901&jobId=jobsdb-th-job-300003002450211,Kyndryl (Thailand) Company Limited,กรุงเทพมหานคร,Minimum 8 years in full-solution IT engagements,At least 3 yrs of experience in consultative sales,At least 3 yrs of exps in demonstrated success,7 วันที่ผ่านมา
2901,Contact Center (1-5 years experience),https://th.jobsdb.com//th/en/job/contact-center-1-5-years-experience-300003002451477?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2902&jobId=jobsdb-th-job-300003002451477,Noble Development Public Company Limited,ปทุมวัน,"Fluent listening,verbal, and written communication",TOEIC minimum 400 Scores,"Customer service orientation, Problem analysis",5 วันที่ผ่านมา
2902,Quality Management Factory / Sriracha / 50 – 65K+++,https://th.jobsdb.com//th/en/job/quality-management-factory-sriracha-50-65k-300003002456228?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2903&jobId=jobsdb-th-job-300003002456228,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",ชลบุรี,10 years in Quality management in manufacturing,"Knowledge in ISO9001, Kaizen and 5S activity",TOEIC 550ม•	Experience in Japanese company,5 วันที่ผ่านมา
2903,Cost Accounting Manager/ผู้จัดการฝ่ายบัญชีต้นทุน ประจำโรงงานสระแก้ว,https://th.jobsdb.com//th/en/job/cost-accounting-manager-%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9D%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B8%9A%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B5%E0%B8%95%E0%B9%89%E0%B8%99%E0%B8%97%E0%B8%B8%E0%B8%99-%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%88%E0%B8%B3%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%AA%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%81%E0%B9%89%E0%B8%A7-300003002450232?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2904&jobId=jobsdb-th-job-300003002450232,EASTERN SUGAR & CANE PUBLIC COMPANY LIMITED,ภาคตะวันออกจังหวัดอื่น,,,,7 วันที่ผ่านมา
2904,R&D Officer / เจ้าหน้าที่วิจัยและพัฒนาผลิตภัณฑ์,https://th.jobsdb.com//th/en/job/r-d-officer-%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A7%E0%B8%B4%E0%B8%88%E0%B8%B1%E0%B8%A2%E0%B9%81%E0%B8%A5%E0%B8%B0%E0%B8%9E%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B2%E0%B8%9C%E0%B8%A5%E0%B8%B4%E0%B8%95%E0%B8%A0%E0%B8%B1%E0%B8%93%E0%B8%91%E0%B9%8C-300003002464084?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2905&jobId=jobsdb-th-job-300003002464084,"Extra Tech Co.,Ltd.",ชลบุรี,,,,6 วันที่ผ่านมา
2905,Client Manager,https://th.jobsdb.com//th/en/job/client-manager-300003002450764?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2906&jobId=jobsdb-th-job-300003002450764,"CXC Global Talent Recruitment (Thailand) Co., Ltd.",วัฒนา,Excellent Remuneration Package,Global Organization,Office Near BTS & MRT,7 วันที่ผ่านมา
2906,IT Security Specialist,https://th.jobsdb.com//th/en/job/it-security-specialist-300003002450314?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2907&jobId=jobsdb-th-job-300003002450314,"Greenline Synergy Co., Ltd.",สวนหลวง,IT knowledge is all around you in everyday,Culture of Sharing and innovation,Develop technical solutions and new security tools,7 วันที่ผ่านมา
2907,"Project Leader Engineer / Lamphun / 30,000 – 50,000 THB",https://th.jobsdb.com//th/en/job/project-leader-engineer-lamphun-30-000-50-000-thb-300003002449311?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2908&jobId=jobsdb-th-job-300003002449311,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",ลำพูน,Degree in Engineering or related,"5 years of experience in Operation, Manufacturing","Experience of IT systems (ERP, MES)",8 วันที่ผ่านมา
2908,Classification Analyst,https://th.jobsdb.com//th/en/job/classification-analyst-300003002456338?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2909&jobId=jobsdb-th-job-300003002456338,AGB Nielsen Media Research (Thailand) Ltd. (Head Office),บางรัก,Work experience in Data analysis / QC/ QA,Encourage fresh graduates to APPLY,Willingness to learn new skills/products,19 วันที่ผ่านมา
2909,Sales Engineer/วิศวกรฝ่ายขาย,https://th.jobsdb.com//th/en/job/sales-engineer-%E0%B8%A7%E0%B8%B4%E0%B8%A8%E0%B8%A7%E0%B8%81%E0%B8%A3%E0%B8%9D%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B8%82%E0%B8%B2%E0%B8%A2-300003002464518?token=0~39fc13af-39ab-4ad7-8b99-66f8bc782620&sectionRank=2910&jobId=jobsdb-th-job-300003002464518,"L M T GROUP CO., LTD.",กรุงเทพมหานคร,,,,6 วันที่ผ่านมา
2910,Lab Technician/เจ้าหน้าที่ห้องปฏิบัติการวิทยาศาสตร์,https://th.jobsdb.com//th/en/job/lab-technician-%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%9B%E0%B8%8F%E0%B8%B4%E0%B8%9A%E0%B8%B1%E0%B8%95%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%A8%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B9%8C-300003002449748?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2911&jobId=jobsdb-th-job-300003002449748,Amnuay Silpa School,Phayathai,preparation of materials and equipment for science,Maintaining science laboratories,General duties in support of the teachers.,8d ago
2911,Electrical Technician/ช่างอิเล็กทรอนิกส์,https://th.jobsdb.com//th/en/job/electrical-technician-%E0%B8%8A%E0%B9%88%E0%B8%B2%E0%B8%87%E0%B8%AD%E0%B8%B4%E0%B9%80%E0%B8%A5%E0%B9%87%E0%B8%81%E0%B8%97%E0%B8%A3%E0%B8%AD%E0%B8%99%E0%B8%B4%E0%B8%81%E0%B8%AA%E0%B9%8C-300003002459341?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2912&jobId=jobsdb-th-job-300003002459341,BOONLAPO COMPANY LIMITED,Pathumwan,,,,6d ago
2912,PMO Lead Transaction Banking Transformation,https://th.jobsdb.com//th/en/job/pmo-lead-transaction-banking-transformation-300003002449514?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2913&jobId=jobsdb-th-job-300003002449514,Bangkok Bank Public Company Limited,Bangrak,"degree in  Engineering, Computer Science",10 years of experience in Project Management,Must have experience in Project Management,8d ago
2913,Competency & Career Development Senior Associate,https://th.jobsdb.com//th/en/job/competency-career-development-senior-associate-300003002463810?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2914&jobId=jobsdb-th-job-300003002463810,Thai Beverages Public Company Limited,Klongtoey,Develop competency model,IDP and learning concept 70:20:10,Design and establish career-based development,6d ago
2914,Senior Lean Engineer (Patumthani),https://th.jobsdb.com//th/en/job/senior-lean-engineer-patumthani-300003002455333?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2915&jobId=jobsdb-th-job-300003002455333,"Fabrinet Co., Ltd.",Klongluang,Lean-Six Sigma (LSS) Green belt and Black belt,Experience: 6 years+ in Electronic Manufacturing,Required Training: Lean manufacturing.,6d ago
2915,Senior Recruitment Consultant (Agency),https://th.jobsdb.com//th/en/job/senior-recruitment-consultant-agency-300003002455237?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2916&jobId=jobsdb-th-job-300003002455237,"Learn Corporation Co., Ltd.",Pathumwan,1-3 years with Recruitment Agency.,Search for IT Tech / IT Marketing is preferable.,Recruiting / Business Development.,6d ago
2916,Digital Engineer (IT)(28K-35K)(Job ID: 60406),https://th.jobsdb.com//th/en/job/digital-engineer-it-28k-35k-job-id%3A-60406-300003002450535?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2917&jobId=jobsdb-th-job-300003002450535,"Reeracoen Recruitment Co., Ltd.",Jatuchak,Bachelor of Computer Engineer or Computer science,Has experience with data warehouse 1-3 years,Advantage for the experience in design,7d ago
2917,Field Audit Specialist,https://th.jobsdb.com//th/en/job/field-audit-specialist-300003002463939?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2918&jobId=jobsdb-th-job-300003002463939,"Ngernturbo Co., Ltd. / บริษัท เงินเทอร์โบ จำกัด",Prakket,Field Audit,Traveling Job,Audit,6d ago
2918,Program Director (PD),https://th.jobsdb.com//th/en/job/program-director-pd-300003002449451?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2919&jobId=jobsdb-th-job-300003002449451,Raks Thai Foundation - Member of CARE International,Phayathai,Program strategy,Program Director,Program management,8d ago
2919,Internal Audit,https://th.jobsdb.com//th/en/job/internal-audit-300003002449709?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2920&jobId=jobsdb-th-job-300003002449709,"Ngernturbo Co., Ltd./ บริษัท เงินเทอร์โบ จำกัด",Prakket,Modern company.,Fast growing business.,Generous of benefits.,8d ago
2920,Quality Engineer,https://th.jobsdb.com//th/en/job/quality-engineer-300003002465291?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2921&jobId=jobsdb-th-job-300003002465291,NXP Semiconductors,Laksri,Bachelor or Master's degree in Electrical Engineer,3-5 years’ in Semiconductor electronics industry,Experience for Supervisor skill for daily operator,5d ago
2921,Quality Assurance,https://th.jobsdb.com//th/en/job/quality-assurance-300003002449940?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2922&jobId=jobsdb-th-job-300003002449940,KASIKORNBANK PUBLIC COMPANY LIMITED,Bangkok,Quality Management,Operation Management,Process Improvement,8d ago
2922,Associate Consultant: Package (SAP),https://th.jobsdb.com//th/en/job/associate-consultant%3A-package-sap-300003002460282?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2923&jobId=jobsdb-th-job-300003002460282,"IBM Thailand Co., Ltd.",Bangkok,Consultant SAP,Good in English,No more than 2 years working experience,5d ago
2923,Production Manager ( Drum Factory )/Production Manager ( Drum Factory ),https://th.jobsdb.com//th/en/job/production-manager-drum-factory-production-manager-drum-factory-300003002456161?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2924&jobId=jobsdb-th-job-300003002456161,"P.S.P. Specialties Co., Ltd.",Overseas,Production Manager ( Drum Factory ),Production,( Drum Factory ),5d ago
2924,Quality Management Factory Manager (60384),https://th.jobsdb.com//th/en/job/quality-management-factory-manager-60384-300003002449345?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2925&jobId=jobsdb-th-job-300003002449345,"Reeracoen Eastern Seaboard Recruitment Co., Ltd.",Rayong,Bachelor degree in Engineering.,10 years experience in Quality in manufacturing.,Good command in English and Japanese,8d ago
2925,HR SECTION MANAGER/ MANAGER (EMPLOYEE RELATIONS),https://th.jobsdb.com//th/en/job/hr-section-manager-manager-employee-relations-300003002459797?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2926&jobId=jobsdb-th-job-300003002459797,"Fischer & Partners Co., Ltd.",Ayutthaya,Control employee relation (rule & regulation),Responsible for employee relations activities,Create action plan and manage employee activity,6d ago
2926,Senior IT Account Executive (40K-80K) [Job ID:(60505)],https://th.jobsdb.com//th/en/job/senior-it-account-executive-40k-80k-%5Bjob-id%3A-60505-%5D-300003002456815?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2927&jobId=jobsdb-th-job-300003002456815,"Reeracoen Recruitment Co., Ltd.",Sathorn,5+ years of exp. in a sales or Account Executive,Manage complex sales-cycles of software,Experience in streamlining sales,5d ago
2927,Network Engineer,https://th.jobsdb.com//th/en/job/network-engineer-300003002465168?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2928&jobId=jobsdb-th-job-300003002465168,"Garena Online (Thailand) Co., Ltd./ Sea Thailand",Dindaeng,Strong network knowledge,Cisco CCNA/CCNP,Good in English,5d ago
2928,Head of Faculty/หัวหน้าคณะทำงานที่ปรึกษา,https://th.jobsdb.com//th/en/job/head-of-faculty-%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%84%E0%B8%93%E0%B8%B0%E0%B8%97%E0%B8%B3%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%9B%E0%B8%A3%E0%B8%B6%E0%B8%81%E0%B8%A9%E0%B8%B2-300003002450119?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2929&jobId=jobsdb-th-job-300003002450119,"Slingshot Group Co., Ltd.",Bangkok,Manage and develop the delivery team (consultants),Experience in HR consulting is a must,in-depth knowledge of HROD,7d ago
2929,Senior Business Development Manager,https://th.jobsdb.com//th/en/job/senior-business-development-manager-300003002459061?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2930&jobId=jobsdb-th-job-300003002459061,Major Development Public Company Limited,Wattana,"Experience in Investment Banking, Business consult",Business plan and strategic initiative,Feasibility study and risk assessment,6d ago
2930,Software Tester/ Automated Testing,https://th.jobsdb.com//th/en/job/software-tester-automated-testing-300003002449785?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2931&jobId=jobsdb-th-job-300003002449785,"Marco Technology Co., Ltd.",Huaykwang,Designing and developing test automation scripts.,Using test automation tools and guidelines.,Highly accurate and detail-oriented.,8d ago
2931,Openstack Architect - True IDC,https://th.jobsdb.com//th/en/job/openstack-architect-true-idc-300003002450187?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2932&jobId=jobsdb-th-job-300003002450187,"Ascend Group Co., Ltd.",Prakanong,3+ years of OpenStack experience,Expert OpenStack/cloud architecture skills,Exp. in demonstrated currency of cloud knowledge,7d ago
2932,Senior HRD,https://th.jobsdb.com//th/en/job/senior-hrd-300003002449653?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2933&jobId=jobsdb-th-job-300003002449653,"Finnomena Co., Ltd.",Pathumwan,,,,8d ago
2933,Sales Planning Manager (ภาคตะวันออก),https://th.jobsdb.com//th/en/job/sales-planning-manager-%E0%B8%A0%E0%B8%B2%E0%B8%84%E0%B8%95%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%99%E0%B8%AD%E0%B8%AD%E0%B8%81-300003002449751?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2934&jobId=jobsdb-th-job-300003002449751,True Corporation Public Company Limited,Chonburi,ปริญญาตรีขึ้นไป สาขาเศรษฐศาสตร์  สถิติ,ประสบการณ์ด้านการวิเคราะห์ข้อมูล,วางแผนการขายการตลาด (Sales Analysis & Planning),8d ago
2934,Cybersecurity Operator Tier 1 (18K–25K) (SDG-64520)/เจ้าหน้าที่รักษาความปลอดภัยทางไซเบอร์ระดับ 1,https://th.jobsdb.com//th/en/job/cybersecurity-operator-tier-1-18k-25k-sdg-64520-%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B8%B2%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%9B%E0%B8%A5%E0%B8%AD%E0%B8%94%E0%B8%A0%E0%B8%B1%E0%B8%A2%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B9%84%E0%B8%8B%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B1%E0%B8%9A-1-300003002455579?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2935&jobId=jobsdb-th-job-300003002455579,"RGF HR Agent Recruitment (Thailand) Co., Ltd.",Wattana,The challenge of taking care Big company,3 years of Security Operations Center,Monitoring and analysing cybersecurity threats,6d ago
2935,IT Project Manager (Digital Transform),https://th.jobsdb.com//th/en/job/it-project-manager-digital-transform-300003002450552?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2936&jobId=jobsdb-th-job-300003002450552,Adecco Recruitment (Thailand) Limited,Bangkok,3 - 5 years of IT Project Management,Experience in retail system landscape or business,Experience in driving digital initiatives,7d ago
2936,Senior Legal - BTS Siam - Up to 65K,https://th.jobsdb.com//th/en/job/senior-legal-bts-siam-up-to-65k-300003002451934?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2937&jobId=jobsdb-th-job-300003002451934,PERSOLKELLY Thailand,Pathumwan,5y+ in Legal,Understand in Corporate law and procedures,Good command in English,5d ago
2937,Accountant/เจ้าหน้าที่บัญชี,https://th.jobsdb.com//th/en/job/accountant-%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%9A%E0%B8%B1%E0%B8%8D%E0%B8%8A%E0%B8%B5-300003002460738?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2938&jobId=jobsdb-th-job-300003002460738,"Cassina Co., Ltd.",Suanluang,,,,5d ago
2938,.Net Developer,https://th.jobsdb.com//th/en/job/net-developer-300003002451228?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2939&jobId=jobsdb-th-job-300003002451228,Accenture Thailand,Bangkok,Experience in Microsoft Technologies (.Net),Good command of English both written and spoken,Competitive salary and benefits package,5d ago
2939,Chief Compliance (45K–50K) (SDG-63166)/หัวหน้าการปฏิบัติตามกฎระเบียบ,https://th.jobsdb.com//th/en/job/chief-compliance-45k-50k-sdg-63166-%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9B%E0%B8%8F%E0%B8%B4%E0%B8%9A%E0%B8%B1%E0%B8%95%E0%B8%B4%E0%B8%95%E0%B8%B2%E0%B8%A1%E0%B8%81%E0%B8%8E%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9A%E0%B8%B5%E0%B8%A2%E0%B8%9A-300003002456604?token=0~f7f09795-d007-488f-83be-5e00158e3b2e&sectionRank=2940&jobId=jobsdb-th-job-300003002456604,"RGF HR Agent Recruitment (Thailand) Co., Ltd.",Wattana,Opportunity to support big company,At least 3-5 years of experience as Compliance,In charge of overall Compliance,5d ago
2940,Finance Manager/ผู้จัดการแผนกการเงิน,https://th.jobsdb.com//th/en/job/finance-manager-%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%81%E0%B8%9C%E0%B8%99%E0%B8%81%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99-300003002449487?token=0~47accafe-77ea-4c2d-8f49-14ec5ed1a1b4&sectionRank=2941&jobId=jobsdb-th-job-300003002449487,Bioscience Animal Health Public Company Limited,Prakket,,,,8d ago
2941,Process Development Chemist (Organic Chemistry),https://th.jobsdb.com//th/en/job/process-development-chemist-organic-chemistry-300003002459115?token=0~47accafe-77ea-4c2d-8f49-14ec5ed1a1b4&sectionRank=2942&jobId=jobsdb-th-job-300003002459115,Huntsman (Thailand) Limited,Bangkok Area - Samutsakorn,"5-day working, based in Samutsakorn province",3+ years' experience in laboratory / research,"Organic chemistry, exp. in chemical synthesis",6d ago
2942,"Manager / Associate Manager, Online Channels",https://th.jobsdb.com//th/en/job/manager-associate-manager-online-channels-300003002449843?token=0~47accafe-77ea-4c2d-8f49-14ec5ed1a1b4&sectionRank=2943&jobId=jobsdb-th-job-300003002449843,"Pacifica Elements Co., Ltd.",Bangkapi,Drive Online sales,Experience working in online platforms and website,Good English communication skills.,8d ago
2943,IT Product Owner ( Insurance ),https://th.jobsdb.com//th/en/job/it-product-owner-insurance-300003002451506?token=0~47accafe-77ea-4c2d-8f49-14ec5ed1a1b4&sectionRank=2944&jobId=jobsdb-th-job-300003002451506,Azentio Software (Thailand) Limited,Wattana,6+ years of experience in IT and Insurance,Good in English conversation and writing,Salary 90K - 200K Up,12d ago
2944,Risk Management (Chief Manager) (50K–70K) (SDG-64509)/การบริหารความเสี่ยง (ผู้จัดการ),https://th.jobsdb.com//th/en/job/risk-management-chief-manager-50k-70k-sdg-64509-%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%AB%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B9%80%E0%B8%AA%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%87-%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%88%E0%B8%B1%E0%B8%94%E0%B8%81%E0%B8%B2%E0%B8%A3-300003002455570?token=0~47accafe-77ea-4c2d-8f49-14ec5ed1a1b4&sectionRank=2945&jobId=jobsdb-th-job-300003002455570,"RGF HR Agent Recruitment (Thailand) Co., Ltd.",Huaykwang,Well known and biggest  JP financial company,4-5 years Enterprise Risk Management experience,"To be in-charged to plan, develop and monitor",6d ago
2945,Digital Marketing (Disaya / Matter Makers),https://th.jobsdb.com//th/en/job/digital-marketing-disaya-matter-makers-300003002450728?token=0~47accafe-77ea-4c2d-8f49-14ec5ed1a1b4&sectionRank=2946&jobId=jobsdb-th-job-300003002450728,West 8 Company Limited,Wattana,Bachelor Degree or higher in Marketing,0-2 years experiences in Digital Marketing,"Understanding of Facebook Ads., SEM and SFO",7d ago
